ID,HomoA,LumoA,GapA,HomoAH,LumoAH,GapAH,HomoAH2,LumoAH2,GapAH2,SMILES,redoxpot1,redoxpot2
054,-7.5325,-3.9135,3.6191,-7.4392,-3.8202,3.6191,-6.3102,-1.6571,4.6531,C1(=C(C(=O)C(=C(C1=O)[SiH3])[SiH3])[SiH3])[SiH3],0.8195,1.4844
055,-7.9810,-3.9538,4.0272,-7.6041,-3.8762,3.7279,-6.3655,-0.8688,5.4966,C1=C(C(=O)C(=CC1=O)Cl)Cl,0.8003,1.6139
053,-7.6346,-3.8523,3.7823,-7.5644,-3.8093,3.7551,-6.3026,-1.4046,4.8980,C1(=C(C(=O)C=C(C1=O)[SiH3])[SiH3])[SiH3],0.8968,1.3724
057,-8.2019,-3.9026,4.2993,-7.6577,-3.7665,3.8912,-6.2996,-0.3676,5.9320,C1=CC(=O)C(=C(C1=O)F)F,0.8945,1.4637
056,-8.2588,-3.8778,4.3810,-7.7589,-3.7589,4.0000,-6.2855,-0.4895,5.7959,C1=C(C(=O)C=C(C1=O)F)F,0.8508,1.4399
059,-8.1769,-4.1497,4.0272,-7.7034,-4.0299,3.6735,-6.5981,-0.3940,6.2041,C1(=C(C(=O)C(=C(C1=O)F)F)F)F,0.8408,1.4513
058,-8.2090,-4.0185,4.1905,-7.6493,-3.8670,3.7823,-6.4544,-0.4136,6.0408,C1(=CC(=O)C(=C(C1=O)F)F)F,0.9183,1.3937
060,-7.9810,-3.9538,4.0272,-7.6038,-3.8759,3.7279,-6.3657,-0.8691,5.4966,C1=C(C(=O)C(=CC1=O)Cl)Cl,0.8005,1.6131
061,-7.9560,-3.9559,4.0000,-7.4882,-3.8419,3.6463,-6.2917,-0.8223,5.4694,C1=C(C(=O)C=C(C1=O)Cl)Cl,0.9146,1.4945
062,-7.8411,-3.9227,3.9184,-7.4262,-3.8071,3.6191,-6.2961,-0.7995,5.4966,C1=CC(=O)C(=C(C1=O)Cl)Cl,0.9012,1.4853
063,-7.7739,-4.1821,3.5919,-7.4477,-4.1279,3.3197,-6.6011,-1.2950,5.3061,C1(=C(C(=O)C(=C(C1=O)Cl)Cl)Cl)Cl,0.8528,1.4950
066,-7.0177,-3.6980,3.3197,-6.6784,-3.5763,3.1021,-5.9124,-1.6131,4.2993,C1(=CC(=O)C(=CC1=O)C=C)C=C,0.8915,1.3672
064,-7.8286,-4.0735,3.7551,-7.3935,-3.9649,3.4286,-6.4447,-1.0569,5.3878,C1(=CC(=O)C(=C(C1=O)Cl)Cl)Cl,0.9487,1.4444
065,-7.0305,-3.6836,3.3470,-6.6321,-3.5845,3.0476,-6.0033,-1.2958,4.7075,C1(=CC(=O)C=C(C1=O)C=C)C=C,0.9690,1.2695
067,-6.7883,-3.6319,3.1565,-6.5423,-3.5491,2.9932,-5.9875,-1.2800,4.7075,C1=CC(=O)C(=C(C1=O)C=C)C=C,0.8343,1.3969
068,-6.6964,-3.6215,3.0748,-6.3687,-3.5660,2.8027,-5.9249,-1.5440,4.3810,C1(=CC(=O)C(=C(C1=O)C=C)C=C)C=C,0.8659,1.2625
069,-6.5195,-3.6079,2.9116,-6.3132,-3.5649,2.7483,-5.9217,-1.6495,4.2721,C1(=C(C(=O)C(=C(C1=O)C=C)C=C)C=C)C=C,0.8487,1.3024
070,-7.5810,-4.2068,3.3742,-7.3151,-4.2947,3.0204,-6.5674,-2.3497,4.2177,C1(=CC(=O)C=C(C1=O)C=O)C=O,1.1822,1.5594
072,-7.6496,-4.1938,3.4558,-7.4218,-4.1021,3.3197,-6.5317,-2.7494,3.7823,C1=C(C(=O)C=C(C1=O)C=O)C=O,1.0167,1.6895
071,-7.6855,-4.1480,3.5374,-7.5206,-4.0104,3.5102,-6.4953,-2.3048,4.1905,C1=CC(=O)C(=C(C1=O)C=O)C=O,1.0828,1.6499
073,-7.6531,-4.3878,3.2653,-7.7208,-4.1562,3.5646,-6.7372,-2.7372,4.0000,C1=C(C(=O)C(=C(C1=O)C=O)C=O)C=O,1.0266,1.7964
074,-6.9170,-4.9578,1.9592,-6.4610,-4.8011,1.6599,-6.8555,-3.4270,3.4286,C1(=C(C(=O)C(=C(C1=O)C=O)C=O)C=O)C=O,1.0400,2.7269
075,-8.1219,-4.0403,4.0816,-7.7777,-4.0770,3.7007,-6.4686,-1.9516,4.5170,C1(=CC(=O)C=C(C1=O)C(=O)OC)C(=O)OC,1.0646,1.7045
076,-8.1064,-4.0520,4.0544,-7.8362,-3.9451,3.8912,-6.4588,-2.2139,4.2449,C1=C(C(=O)C=C(C1=O)C(=O)OC)C(=O)OC,1.1386,1.6188
