name,pz_C2_pop,px_O_pop,NBO_C_diazo,NBO_N1,NBO_N2,NBO_C_carbonyl,NBO_O,HOMO,ΔG,ΔG_fromAdd,adduct,ΔG-ΔG_O,ΔG_O,ΔG_C_fromDiazo,ΔG_C,ΔG-ΔG_C,BCl3_Role,ΔΔG,Overall performance
4_21,1.3162200000000002,1.80108,-0.156,0.107,0.141,0.915,-0.589,-7.901,33.59,33.51,0.08,5.39,28.21,16.97,16.97,16.62,1,-11.24,16.62
3_9,1.34378,1.87368,-0.218,0.107,0.138,0.5920000000000001,-0.5710000000000001,-8.552,33.03,29.18,3.85,9.84,23.2,23.71,23.71,9.33,1,0.51,9.84
14_10,1.30158,1.8073299999999999,-0.153,0.099,0.08800000000000001,0.8240000000000001,-0.622,-7.4689999999999985,33.14,37.65,-4.5,6.25,26.9,10.52,15.02,18.12,1,-11.87,18.12
2_5,1.33863,1.87588,-0.14,0.049,0.087,0.53,-0.593,-7.95,26.36,37.09,-10.73,2.68,23.69,10.58,21.31,5.05,1,-2.37,5.05
14_9,1.3707200000000002,1.8079,-0.24100000000000002,0.121,0.165,0.838,-0.599,-8.436,32.67,30.2,2.47,-2.93,35.6,23.64,23.64,9.03,1,-11.96,9.03
11_16,1.26968,1.85732,-0.077,0.094,0.107,0.483,-0.575,-7.3770000000000024,29.97,42.52,-12.55,12.5,17.48,12.39,24.94,5.03,1,7.46,12.5
10_14,1.05306,1.70566,0.231,0.039,0.073,0.47,-0.6,-7.771,16.96,25.87,-8.91,9.89,7.08,10.8,19.71,-2.74,1,12.63,9.89
3_5,1.33549,1.8789099999999999,-0.13,0.045,0.076,0.546,-0.58,-7.9110000000000005,28.47,27.74,0.72,14.91,13.55,14.76,14.76,13.71,1,1.21,14.91
20_6,1.29538,1.84265,-0.21100000000000002,0.049,0.083,0.521,-0.5870000000000001,-7.7079999999999975,29.39,38.69,-9.29,5.2,24.19,13.92,23.21,6.18,1,-0.98,6.18
16_5,1.3025799999999998,1.8638099999999997,-0.134,0.049,0.094,0.52,-0.581,-7.962999999999999,28.97,36.93,-7.96,7.55,21.42,14.54,22.5,6.47,1,1.08,7.55
11_13,1.1188200000000001,1.72079,0.23600000000000002,0.047,0.099,0.439,-0.563,-7.944,16.84,27.68,-10.84,6.62,10.22,10.92,21.76,-4.92,1,11.54,6.62
18_17,1.24928,1.8519999999999999,-0.094,0.084,0.079,0.545,-0.593,-7.289,30.5,40.36,-9.86,15.72,14.78,12.09,21.95,8.55,1,7.17,15.72
6_16,1.29821,1.7541799999999999,-0.122,0.10300000000000001,0.142,0.4970000000000001,-0.532,-7.593,29.54,31.45,-1.91,15.06,14.48,14.47,16.38,13.16,1,1.91,15.06
3_8,1.32524,1.8707900000000002,0.011000000000000001,0.08800000000000001,0.17300000000000001,0.561,-0.545,-9.048,32.6,27.15,5.46,-7.03,39.64,25.76,25.76,6.84,1,-13.87,6.84
8_5,1.37313,1.80292,-0.174,0.085,0.18,0.604,-0.515,-8.613,30.41,22.82,7.59,-0.82,31.23,19.7,19.7,10.71,1,-11.53,10.71
1_4,1.26271,1.59794,0.325,0.01,0.08199999999999999,0.3,-0.583,-8.12,20.97,34.72,-13.75,-7.48,28.45,10.51,24.26,-3.29,1,-4.19,-3.29
17_15,1.18255,1.87031,0.081,0.05,0.045,0.521,-0.602,-7.442,8.52,23.23,-14.72,7.89,0.63,13.24,27.96,-19.44,1,27.33,7.89
21_13,1.0242,1.81482,0.226,0.040999999999999995,0.09,0.4970000000000001,-0.58,-7.972,16.07,25.29,-9.22,8.96,7.11,13.9,23.12,-7.06,1,16.01,8.96
19_9,1.2523600000000001,1.8476700000000001,-0.218,0.11699999999999999,0.162,0.5710000000000001,-0.5479999999999999,-8.631,32.52,37.78,-5.26,7.37,25.14,23.49,28.75,3.76,1,3.61,7.37
12_5,1.3636700000000002,1.8267200000000001,-0.16399999999999998,0.055,0.08800000000000001,0.7979999999999999,-0.627,-7.954,26.43,25.14,1.29,0.34,26.09,9.61,9.61,16.82,1,-16.49,16.82
